class_id,teacher_email,student_email
1,thudr.rpoiksn@schoolmail.com,rqyeaq.bmvls@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,rtmtxanoz.plaqz@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,nedmsei.bsxgzzvhgx@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,jdsvod.mhvdws@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,kfuyako.ppqbzbqpzc@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,ldyuouk.vnej@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,jmuaqgam.ckgpiq@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,zrzfripyh.tzsfqskqj@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,chggii.ngtxenqpp@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,geuxbhp.nqotvrjrc@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,zvohlnynp.wefp@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,fpcwfpkzt.pdd@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,nzcipmds.gvhnkhw@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,kcxpdhhp.tyw@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,spfuxc.gwsm@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,dqwnyug.dhkugy@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,qeyyee.vnib@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,ukicgfok.lkushxt@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,gyvcfpyo.ajujtyspkw@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,xdxxefvi.tjigpt@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,mxibqzcpk.zzyi@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,qaswbjoubx.vbbqosuug@schoolmail.com
1,thudr.rpoiksn@schoolmail.com,umdrkepb.emzxdolgk@schoolmail.com
2,uaitqulq.hecbw@schoolmail.com,zvohlnynp.wefp@schoolmail.com
2,uaitqulq.hecbw@schoolmail.com,qrqzvufsr.iueifzqsk@schoolmail.com
2,uaitqulq.hecbw@schoolmail.com,pntczamp.pws@schoolmail.com
2,uaitqulq.hecbw@schoolmail.com,jmuaqgam.ckgpiq@schoolmail.com
2,uaitqulq.hecbw@schoolmail.com,ldyuouk.vnej@schoolmail.com
2,uaitqulq.hecbw@schoolmail.com,fpcwfpkzt.pdd@schoolmail.com
2,uaitqulq.hecbw@schoolmail.com,mxibqzcpk.zzyi@schoolmail.com
2,uaitqulq.hecbw@schoolmail.com,spfuxc.gwsm@schoolmail.com
2,uaitqulq.hecbw@schoolmail.com,rtmtxanoz.plaqz@schoolmail.com
2,uaitqulq.hecbw@schoolmail.com,iwewc.rmkgsc@schoolmail.com
2,uaitqulq.hecbw@schoolmail.com,kfuyako.ppqbzbqpzc@schoolmail.com
2,uaitqulq.hecbw@schoolmail.com,bpteavqajw.eqkryan@schoolmail.com
2,uaitqulq.hecbw@schoolmail.com,ldjbntxnx.ecfw@schoolmail.com
2,uaitqulq.hecbw@schoolmail.com,erkvhs.cklmrn@schoolmail.com
2,uaitqulq.hecbw@schoolmail.com,nzcipmds.gvhnkhw@schoolmail.com
